motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_aaron_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
225,-0.265625,0.828125,0.265625,23.4375,-9.765625,-13.671875,,,
226,-0.28125,0.8125,0.234375,23.4375,0,-17.578125,,,
227,-0.21875,0.75,0.203125,21.484375,0,-9.765625,,,
228,-0.265625,0.828125,0.171875,17.578125,11.71875,-7.8125,,,
229,-0.203125,0.84375,0.15625,23.4375,19.53125,-11.71875,,,
230,-0.28125,0.78125,0.21875,23.4375,3.90625,-17.578125,,,
231,-0.171875,0.84375,0.109375,19.53125,21.484375,-9.765625,,,
232,-0.203125,0.84375,0.1875,19.53125,19.53125,-11.71875,,,
233,-0.34375,0.890625,0.03125,19.53125,1.953125,-13.671875,,,
234,-0.3125,0.859375,0.046875,17.578125,1.953125,-11.71875,,,
235,-0.28125,0.859375,0.03125,15.625,0,-7.8125,,,
236,-0.390625,0.890625,0.015625,9.765625,5.859375,-3.90625,,,
237,-0.296875,0.84375,0,17.578125,11.71875,-3.90625,,,
238,-0.359375,0.796875,0.03125,13.671875,3.90625,0,,,
239,-0.328125,0.8125,0,11.71875,3.90625,3.90625,,,
240,-0.34375,0.84375,0.03125,7.8125,9.765625,3.90625,,,
241,-0.328125,0.90625,0.015625,0,13.671875,5.859375,,,
242,-0.34375,0.9375,0,-1.953125,13.671875,5.859375,,,
243,-0.390625,1.0625,-0.171875,-5.859375,23.4375,1.953125,,,
244,-0.390625,1.0625,-0.171875,-5.859375,21.484375,1.953125,,,
245,-0.46875,1.15625,-0.171875,0,11.71875,0,,,
246,-0.484375,1.234375,-0.28125,3.90625,17.578125,1.953125,,,
247,-0.5,1.171875,-0.1875,9.765625,-11.71875,0,,,
248,-0.40625,1.078125,-0.15625,1.953125,-15.625,3.90625,,,
249,-0.375,0.96875,-0.078125,-3.90625,-19.53125,3.90625,,,
250,-0.3125,0.921875,-0.078125,-11.71875,-17.578125,7.8125,,,
251,-0.328125,0.890625,-0.03125,-13.671875,-33.203125,3.90625,,,
252,-0.234375,0.890625,0.03125,-9.765625,-52.734375,0,,,
253,-0.203125,0.90625,0.078125,-15.625,-21.484375,9.765625,,,
254,-0.28125,0.90625,0.0625,-11.71875,-21.484375,-1.953125,,,
255,-0.3125,0.890625,0.046875,-17.578125,-23.4375,3.90625,,,
256,-0.28125,0.90625,0.125,-27.34375,-3.90625,5.859375,,,
257,-0.234375,0.859375,0.15625,-25.390625,-11.71875,1.953125,,,
258,-0.21875,0.859375,0.140625,-27.34375,-1.953125,13.671875,,,
259,-0.3125,0.90625,0.15625,-27.34375,-9.765625,13.671875,,,
260,-0.28125,0.875,0.15625,-27.34375,-7.8125,19.53125,,,
261,-0.265625,0.84375,0.21875,-23.4375,-11.71875,25.390625,,,
262,-0.21875,0.765625,0.25,-21.484375,-19.53125,27.34375,,,
263,-0.203125,0.765625,0.296875,-21.484375,-17.578125,31.25,,,
264,-0.078125,0.765625,0.28125,-11.71875,-15.625,17.578125,,,
265,-0.1875,0.765625,0.28125,-9.765625,-17.578125,19.53125,,,
266,-0.109375,0.6875,0.34375,-1.953125,-17.578125,11.71875,,,
267,-0.15625,0.625,0.265625,3.90625,-13.671875,1.953125,,,
268,-0.171875,0.609375,0.3125,7.8125,0,-3.90625,,,
269,-0.1875,0.71875,0.265625,15.625,1.953125,-11.71875,,,
270,-0.1875,0.78125,0.3125,21.484375,13.671875,-15.625,,,
271,-0.203125,0.796875,0.234375,21.484375,17.578125,-17.578125,,,
272,-0.21875,0.75,0.25,19.53125,19.53125,-17.578125,,,
273,-0.15625,0.78125,0.203125,21.484375,23.4375,-17.578125,,,
274,-0.125,0.734375,0.203125,21.484375,23.4375,-23.4375,,,
275,-0.21875,0.828125,0.15625,23.4375,11.71875,-17.578125,,,
276,-0.28125,0.859375,0.046875,21.484375,13.671875,-11.71875,,,
277,-0.25,0.859375,0.109375,21.484375,7.8125,-3.90625,,,
278,-0.25,0.859375,0.109375,25.390625,-3.90625,-3.90625,,,
279,-0.265625,0.890625,0.140625,23.4375,-3.90625,-9.765625,,,
280,-0.265625,0.890625,0.078125,23.4375,13.671875,-9.765625,,,
281,-0.28125,0.921875,0,23.4375,3.90625,-15.625,,,
282,-0.3125,0.90625,0.015625,23.4375,5.859375,-11.71875,,,
283,-0.328125,0.875,0.046875,19.53125,-3.90625,-17.578125,,,
284,-0.328125,0.859375,0,15.625,13.671875,-13.671875,,,
285,-0.3125,0.875,-0.015625,0,15.625,7.8125,,,
286,-0.328125,0.890625,-0.046875,0,17.578125,9.765625,,,
287,-0.359375,0.921875,-0.03125,-1.953125,5.859375,11.71875,,,
288,-0.328125,0.90625,-0.046875,-7.8125,5.859375,11.71875,,,
289,-0.359375,0.9375,-0.046875,-9.765625,0,7.8125,,,
290,-0.328125,0.96875,-0.03125,-13.671875,7.8125,7.8125,,,
291,-0.3125,1,0,-13.671875,3.90625,1.953125,,,
292,-0.328125,1.015625,-0.03125,-17.578125,13.671875,1.953125,,,
293,-0.40625,1.046875,-0.046875,-21.484375,17.578125,-1.953125,,,
294,-0.375,1.09375,-0.109375,-25.390625,31.25,-5.859375,,,
295,-0.40625,1.109375,-0.125,-19.53125,31.25,-3.90625,,,
296,-0.46875,1.046875,-0.109375,15.625,-35.15625,-5.859375,,,
297,-0.359375,0.984375,0,7.8125,-42.96875,-7.8125,,,
298,-0.3125,0.90625,0.03125,-3.90625,-23.4375,-3.90625,,,
299,-0.34375,0.90625,0,-13.671875,-27.34375,-1.953125,,,
300,-0.328125,0.875,0.0625,-9.765625,-23.4375,0,,,
301,-0.28125,0.828125,0.078125,-7.8125,-25.390625,0,,,
302,-0.25,0.859375,0.109375,-5.859375,-5.859375,0,,,
303,-0.328125,0.90625,0.109375,0,-1.953125,0,,,
304,-0.328125,0.921875,0.1875,1.953125,-13.671875,-1.953125,,,
305,-0.296875,0.90625,0.140625,0,-7.8125,0,,,
306,-0.328125,0.875,0.125,-15.625,-1.953125,7.8125,,,
307,-0.328125,0.875,0.125,-15.625,-3.90625,9.765625,,,
308,-0.234375,0.734375,0.125,-9.765625,0,9.765625,,,
309,-0.296875,0.8125,0.09375,-7.8125,-1.953125,21.484375,,,
310,-0.28125,0.8125,0.09375,-9.765625,0,23.4375,,,
311,-0.3125,0.84375,0.125,-13.671875,-9.765625,27.34375,,,
312,-0.34375,0.9375,0.046875,-17.578125,-11.71875,29.296875,,,
313,-0.21875,0.8125,0.1875,-27.34375,-7.8125,27.34375,,,
314,-0.203125,0.796875,0.171875,-29.296875,-15.625,27.34375,,,
315,-0.109375,0.765625,0.171875,-27.34375,-9.765625,25.390625,,,
316,-0.15625,0.828125,0.171875,-19.53125,-19.53125,31.25,,,
317,-0.09375,0.546875,0.34375,-7.8125,-7.8125,-1.953125,,,
318,-0.203125,0.625,0.15625,0,5.859375,-15.625,,,
319,-0.21875,0.5625,0.203125,7.8125,13.671875,-21.484375,,,
320,-0.265625,0.75,0.234375,13.671875,13.671875,-25.390625,,,
321,-0.296875,0.84375,0.234375,17.578125,9.765625,-21.484375,,,
322,-0.1875,0.78125,0.296875,17.578125,7.8125,-21.484375,,,
323,-0.25,0.84375,0.140625,15.625,3.90625,-15.625,,,
324,-0.265625,0.78125,0.25,15.625,1.953125,-17.578125,,,
325,-0.3125,0.796875,0.1875,17.578125,1.953125,-15.625,,,
326,-0.296875,0.828125,0.15625,3.90625,39.0625,3.90625,,,
327,-0.171875,0.8125,0.21875,11.71875,17.578125,-9.765625,,,
328,-0.171875,0.8125,0.21875,9.765625,19.53125,-7.8125,,,
329,-0.234375,0.828125,0.15625,9.765625,42.96875,-9.765625,,,
330,-0.28125,0.875,0.140625,15.625,27.34375,-7.8125,,,
331,-0.296875,0.90625,0.140625,19.53125,1.953125,-9.765625,,,
332,-0.265625,0.96875,0.0625,13.671875,7.8125,-3.90625,,,
333,-0.359375,0.90625,0.078125,11.71875,0,-3.90625,,,
334,-0.28125,0.921875,0.046875,7.8125,3.90625,-5.859375,,,
335,-0.28125,0.859375,0.0625,7.8125,3.90625,-7.8125,,,
336,-0.296875,0.84375,0.0625,9.765625,1.953125,-5.859375,,,
337,-0.296875,0.890625,0.03125,9.765625,3.90625,-3.90625,,,
338,-0.359375,0.890625,0.0625,-9.765625,13.671875,7.8125,,,
339,-0.4375,1.03125,0.015625,-5.859375,3.90625,-3.90625,,,
340,-0.390625,0.953125,0.015625,-11.71875,7.8125,7.8125,,,
341,-0.421875,1.046875,0.015625,-7.8125,9.765625,3.90625,,,
342,-0.46875,1.15625,-0.046875,-11.71875,17.578125,5.859375,,,
343,-0.515625,1.203125,-0.109375,9.765625,9.765625,0,,,
344,-0.53125,1.203125,-0.140625,19.53125,3.90625,-3.90625,,,
345,-0.484375,1.109375,-0.109375,19.53125,-1.953125,-7.8125,,,
346,-0.453125,1.046875,-0.09375,13.671875,-1.953125,-5.859375,,,
347,-0.453125,0.9375,-0.03125,7.8125,-19.53125,-7.8125,,,
348,-0.328125,0.921875,0.046875,-3.90625,-23.4375,5.859375,,,
349,-0.328125,0.921875,0.046875,-1.953125,-23.4375,5.859375,,,
350,-0.3125,0.90625,0.109375,-3.90625,-31.25,5.859375,,,
351,-0.3125,0.84375,0.09375,-9.765625,-19.53125,3.90625,,,
352,-0.28125,0.828125,0.109375,-11.71875,-7.8125,1.953125,,,
353,-0.3125,0.828125,0.09375,-11.71875,-5.859375,1.953125,,,
354,-0.34375,0.8125,0.09375,-11.71875,-19.53125,5.859375,,,
355,-0.3125,0.859375,0.109375,-19.53125,-7.8125,15.625,,,
356,-0.296875,0.875,0.15625,-23.4375,-1.953125,13.671875,,,
357,-0.28125,0.875,0.171875,-21.484375,-1.953125,15.625,,,
358,-0.25,0.828125,0.171875,-19.53125,0,17.578125,,,
359,-0.28125,0.84375,0.171875,-21.484375,3.90625,23.4375,,,
360,-0.234375,0.78125,0.234375,-15.625,0,21.484375,,,
361,-0.3125,0.890625,0.171875,-17.578125,0,25.390625,,,
362,-0.234375,0.765625,0.203125,-21.484375,0,27.34375,,,
363,-0.234375,0.875,0.21875,-23.4375,0,25.390625,,,
364,-0.109375,0.875,0.28125,-29.296875,0,29.296875,,,
365,-0.203125,0.828125,0.21875,-23.4375,3.90625,23.4375,,,
366,-0.140625,0.75,0.21875,-17.578125,5.859375,19.53125,,,
367,-0.171875,0.734375,0.21875,-11.71875,1.953125,13.671875,,,
368,-0.09375,0.609375,0.25,-1.953125,5.859375,0,,,
369,-0.25,0.859375,0.25,13.671875,0,-19.53125,,,
370,-0.25,0.859375,0.25,15.625,0,-17.578125,,,
371,-0.171875,0.828125,0.265625,19.53125,-5.859375,-19.53125,,,
