motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Upper Cut - Right 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
277,0.46394,0.32591,-0.32136,9.46334,-0.46384,12.34735,0,0,0
278,0.44698,0.36655,-0.36744,11.14334,-1.30384,10.50735,0,0,0
279,0.48154,0.38607,-0.3412,9.94334,-3.38384,9.30735,0,0,0
280,0.52602,0.33775,-0.28872,3.18334,-9.10384,8.66735,0,0,0
281,0.55898,0.31695,-0.258,0.38334,-10.90384,9.02735,0,0,0
282,0.54362,0.27951,-0.31112,0.86334,-11.70384,7.90735,0,0,0
283,0.5801,0.30255,-0.32904,8.66334,-14.82384,1.90735,0,0,0
284,0.58106,0.32815,-0.3284,10.62334,-17.18384,-0.61264,0,0,0
285,0.59994,0.38031,-0.29768,10.38334,-19.18384,-2.09264,0,0,0
286,0.63738,0.41743,-0.18632,0.62334,-19.38384,-1.41264,0,0,0
287,0.6169,0.39215,-0.20904,-18.21665,-16.46384,2.10735,0,0,0
288,0.62842,0.34351,-0.22728,-23.61665,-16.54384,2.14735,0,0,0
289,0.62938,0.29391,-0.24648,-24.69665,-16.90384,1.34735,0,0,0
290,0.60762,0.28303,-0.26184,-17.33665,-20.50384,-0.29264,0,0,0
291,0.6121,0.32079,-0.2484,-6.01665,-24.42384,-1.81264,0,0,0
292,0.6153,0.37103,-0.23592,-3.01665,-25.22384,-1.85264,0,0,0
293,0.61082,0.39375,-0.22536,-3.41665,-25.90384,-0.85264,0,0,0
294,0.6377,0.36719,-0.23048,-8.41665,-24.42384,1.50735,0,0,0
295,0.61882,0.36015,-0.28296,-8.85665,-22.66384,1.46735,0,0,0
296,0.61018,0.30255,-0.29416,-2.33665,-22.34384,-0.13264,0,0,0
297,0.5929,0.35471,-0.25,4.10334,-22.42384,2.06735,0,0,0
298,0.56346,0.38735,-0.24968,3.58334,-21.82384,3.86735,0,0,0
299,0.55866,0.38767,-0.23848,0.66334,-21.42384,5.18735,0,0,0
300,0.52794,0.37231,-0.25544,-6.53665,-19.74384,7.54735,0,0,0
301,0.5337,0.33519,-0.2484,-5.89665,-16.34384,7.62735,0,0,0
302,0.50042,0.34127,-0.29928,-1.45665,-11.94384,6.78735,0,0,0
303,0.51898,0.36271,-0.26088,0.70334,-11.30384,6.10735,0,0,0
304,0.51098,0.40111,-0.26728,-1.33665,-9.22384,5.98735,0,0,0
305,0.49402,0.38223,-0.2788,-10.45665,-7.86384,6.50735,0,0,0
306,0.50458,0.35503,-0.26024,-13.33665,-7.42384,6.70735,0,0,0
307,0.48122,0.34159,-0.29864,-10.89665,-4.82384,6.30735,0,0,0
308,0.4713,0.34831,-0.30088,-5.21665,-3.82384,5.46735,0,0,0
309,0.46426,0.38351,-0.29288,-4.37665,-3.70384,5.82735,0,0,0
310,0.44954,0.39311,-0.29864,-5.37665,-2.58384,5.26735,0,0,0
311,0.45914,0.36687,-0.28936,-7.41665,-1.94384,4.58735,0,0,0
312,0.44634,0.36751,-0.30664,-5.01665,-0.58384,3.94735,0,0,0
313,0.4457,0.36847,-0.32104,-3.05665,-0.22384,3.30735,0,0,0
314,0.44314,0.37615,-0.31624,0.10334,0.01615,2.78735,0,0,0
315,0.4233,0.36591,-0.31496,2.02334,0.29615,1.70735,0,0,0
316,0.42938,0.37775,-0.3124,3.10334,-0.02384,1.06735,0,0,0
317,0.43866,0.39215,-0.30344,3.78334,0.01615,0.82735,0,0,0
318,0.44282,0.37455,-0.3044,1.26334,0.37615,0.78735,0,0,0
319,0.4489,0.32847,-0.32136,3.66334,1.37615,-0.81264,0,0,0
320,0.43418,0.34735,-0.35112,6.54334,2.05615,-1.61264,0,0,0
321,0.46458,0.35631,-0.3012,10.74334,2.17615,-3.73264,0,0,0
322,0.47066,0.38255,-0.3028,9.02334,4.81615,-4.85264,0,0,0
323,0.4841,0.37295,-0.29256,6.86334,6.21615,-5.29264,0,0,0
324,0.49562,0.35215,-0.29928,4.06334,9.17615,-6.45264,0,0,0
325,0.52314,0.31023,-0.30408,3.14334,10.61615,-7.93264,0,0,0
326,0.57626,0.28911,-0.30088,7.90334,12.01615,-10.81264,0,0,0
327,0.59706,0.26575,-0.3172,13.74334,13.73615,-13.89264,0,0,0
328,0.66874,0.24079,-0.30152,30.82334,17.13615,-22.17264,0,0,0
329,0.81626,0.36911,-0.20968,44.50334,23.21615,-30.25264,0,0,0
330,0.93018,0.38415,-0.1348,44.74334,28.85615,-33.49264,0,0,0
331,1.06426,0.31247,-0.07304,41.30334,36.57615,-35.89264,0,0,0
