motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_ethan_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
231,-0.25,0.671875,0.15625,3.90625,5.859375,-13.671875,,,
232,-0.28125,0.671875,0.25,17.578125,3.90625,-19.53125,,,
233,-0.3125,0.75,0.1875,17.578125,23.4375,-27.34375,,,
234,-0.265625,0.71875,0.25,17.578125,23.4375,-23.4375,,,
235,-0.328125,0.765625,-0.03125,21.484375,29.296875,-35.15625,,,
236,-0.296875,0.671875,0.1875,11.71875,17.578125,-37.109375,,,
237,-0.34375,0.828125,0.109375,3.90625,9.765625,-19.53125,,,
238,-0.34375,0.828125,0.109375,1.953125,3.90625,-19.53125,,,
239,-0.40625,0.859375,-0.140625,1.953125,29.296875,-23.4375,,,
240,-0.375,0.875,0.109375,-9.765625,0,-11.71875,,,
241,-0.3125,0.875,-0.046875,-15.625,7.8125,-7.8125,,,
242,-0.265625,0.890625,0,-11.71875,0,0,,,
243,-0.359375,0.984375,0.046875,-25.390625,0,9.765625,,,
244,-0.40625,1.046875,0.046875,-27.34375,-13.671875,11.71875,,,
245,-0.515625,1.1875,0.125,-37.109375,-25.390625,17.578125,,,
246,-0.578125,1.296875,0.09375,-33.203125,-21.484375,11.71875,,,
247,-0.671875,1.328125,0.1875,-42.96875,-25.390625,9.765625,,,
248,-0.421875,1.15625,0.25,9.765625,-7.8125,0,,,
249,-0.40625,1.09375,0.3125,23.4375,-5.859375,0,,,
250,-0.359375,1.015625,0.28125,41.015625,-1.953125,5.859375,,,
251,-0.390625,1.03125,0.296875,39.0625,11.71875,7.8125,,,
252,-0.390625,1.078125,0.1875,25.390625,13.671875,5.859375,,,
253,-0.359375,1.09375,0.15625,3.90625,13.671875,0,,,
254,-0.390625,1.046875,0.078125,-7.8125,5.859375,-5.859375,,,
255,-0.3125,0.96875,0.09375,-5.859375,11.71875,-5.859375,,,
256,-0.328125,0.9375,0.109375,-3.90625,13.671875,0,,,
257,-0.265625,0.90625,0.125,11.71875,-3.90625,7.8125,,,
258,-0.28125,0.796875,0.078125,-3.90625,-29.296875,15.625,,,
259,-0.28125,0.796875,0.078125,-3.90625,-27.34375,13.671875,,,
260,-0.171875,0.6875,0.234375,-7.8125,-17.578125,19.53125,,,
261,-0.25,0.703125,0.140625,-11.71875,-23.4375,17.578125,,,
262,-0.265625,0.671875,0.203125,-11.71875,-7.8125,17.578125,,,
263,-0.234375,0.703125,0.125,-15.625,-17.578125,19.53125,,,
264,-0.328125,0.65625,0.203125,-15.625,-5.859375,11.71875,,,
265,-0.328125,0.640625,0.1875,-9.765625,0,1.953125,,,
266,-0.390625,0.59375,0.15625,-1.953125,11.71875,-9.765625,,,
267,-0.375,0.609375,0.21875,-1.953125,13.671875,-9.765625,,,
268,-0.359375,0.640625,0.171875,5.859375,21.484375,-23.4375,,,
269,-0.328125,0.640625,0.171875,23.4375,13.671875,-29.296875,,,
270,-0.421875,0.671875,0.0625,23.4375,25.390625,-35.15625,,,
271,-0.390625,0.65625,0.28125,15.625,13.671875,-23.4375,,,
272,-0.40625,0.71875,-0.09375,13.671875,25.390625,-27.34375,,,
273,-0.46875,0.75,0.25,5.859375,7.8125,-13.671875,,,
274,-0.453125,0.84375,-0.0625,1.953125,21.484375,-13.671875,,,
275,-0.453125,0.90625,0.09375,0,15.625,-3.90625,,,
276,-0.34375,1.015625,-0.015625,-7.8125,21.484375,-1.953125,,,
277,-0.390625,1,0.046875,-13.671875,21.484375,0,,,
278,-0.328125,1.03125,0,-21.484375,5.859375,1.953125,,,
279,-0.46875,1.109375,0.09375,-21.484375,-5.859375,9.765625,,,
280,-0.515625,1.1875,0,-21.484375,-3.90625,9.765625,,,
281,-0.625,1.25,0,-7.8125,-1.953125,11.71875,,,
282,-0.6875,1.421875,0.125,0,-13.671875,9.765625,,,
283,-0.6875,1.421875,0.046875,21.484375,-7.8125,0,,,
284,-0.640625,1.359375,0.109375,35.15625,-7.8125,-3.90625,,,
285,-0.546875,1.328125,0,44.921875,-3.90625,-15.625,,,
286,-0.40625,1.28125,0.125,42.96875,-5.859375,-9.765625,,,
287,-0.421875,1.171875,-0.171875,42.96875,-11.71875,-5.859375,,,
288,-0.4375,1.0625,0.125,31.25,-17.578125,5.859375,,,
289,-0.375,0.984375,-0.140625,5.859375,-29.296875,19.53125,,,
290,-0.234375,0.625,0.171875,-41.015625,-41.015625,39.0625,,,
291,-0.171875,0.625,0,-37.109375,-41.015625,33.203125,,,
292,-0.171875,0.59375,0.25,-31.25,-39.0625,39.0625,,,
293,-0.25,0.625,0.046875,-25.390625,-33.203125,33.203125,,,
294,-0.203125,0.703125,0.109375,-23.4375,-41.015625,39.0625,,,
295,-0.328125,0.71875,0.09375,-29.296875,-37.109375,33.203125,,,
296,-0.265625,0.703125,0.203125,-31.25,-42.96875,29.296875,,,
297,-0.265625,0.609375,0.234375,-17.578125,-37.109375,5.859375,,,
298,-0.25,0.625,0.25,-13.671875,-27.34375,-5.859375,,,
299,-0.265625,0.5625,0.296875,-3.90625,-31.25,-25.390625,,,
