motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-pullover-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
180,0.328125,0.078125,-0.9375,3.90625,0,0,0,0,0
181,0.28125,0.09375,-0.890625,3.90625,0,1.953125,0,0,0
182,0.3125,0.0625,-1.03125,5.859375,0,0,0,0,0
183,0.265625,0.078125,-0.9375,1.953125,-1.953125,0,0,0,0
184,0.265625,0.046875,-0.96875,1.953125,0,1.953125,0,0,0
185,0.28125,0,-0.9375,3.90625,0,0,0,0,0
186,0.34375,0.046875,-0.921875,0,0,0,0,0,0
187,0.296875,0.015625,-0.984375,0,0,0,0,0,0
188,0.328125,0.015625,-0.90625,0,0,0,0,0,0
189,0.3125,0,-0.96875,1.953125,-3.90625,0,0,0,0
190,0.265625,0.015625,-0.921875,0,0,0,0,0,0
191,0.265625,0,-0.953125,0,0,-1.953125,0,0,0
192,0.296875,0.046875,-0.921875,0,-1.953125,-1.953125,0,0,0
