motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-shoulderpress-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
296,-0.03125,1,-0.109375,-1.953125,0,-3.90625,0,0,0
297,-0.03125,1.03125,-0.203125,-3.90625,0,0,0,0,0
298,-0.109375,0.96875,-0.1875,-9.765625,0,-1.953125,0,0,0
299,-0.109375,0.953125,-0.0625,-11.71875,0,-1.953125,0,0,0
300,-0.0625,0.984375,-0.078125,-17.578125,0,-3.90625,0,0,0
301,-0.109375,0.96875,0.0625,-19.53125,-1.953125,3.90625,0,0,0
302,-0.109375,0.96875,0.0625,-19.53125,0,5.859375,0,0,0
303,-0.078125,1.046875,0.0625,-19.53125,0,5.859375,0,0,0
304,-0.125,1.03125,0.15625,-19.53125,0,5.859375,0,0,0
305,-0.046875,1.109375,0.109375,-19.53125,-1.953125,7.8125,0,0,0
306,-0.109375,1.0625,0.21875,-17.578125,0,5.859375,0,0,0
307,-0.03125,1.109375,0.171875,-15.625,0,3.90625,0,0,0
308,-0.015625,1.0625,0.21875,-13.671875,0,5.859375,0,0,0
309,-0.015625,1.046875,0.25,-9.765625,0,3.90625,0,0,0
310,0,1.03125,0.234375,-5.859375,0,1.953125,0,0,0
311,-0.015625,1.03125,0.25,-5.859375,0,0,0,0,0
