motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Cross Right - 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
232,1.54394,0.37071,0.19928,-69.92,102.80125,19.1275,0,0,0
233,1.7689,0.25167,0.26168,-87.64,123.64125,31.7675,0,0,0
234,1.96186,0.18031,0.33816,-90.2,133.72125,43.4075,0,0,0
235,2.36826,0.11151,0.4028,-103.88,149.64125,79.4075,0,0,0
236,2.55482,-0.14641,-0.23528,-149.64,147.44125,122.8475,0,0,0
237,2.52666,-0.60625,-0.55976,-175.12,141.52126,139.2475,0,0,0
238,2.59834,-0.47665,-0.94792,-211.12,131.20125,164.1675,0,0,0
239,2.18298,-0.01201,-0.74824,-244.64,131.80125,113.9675,0,0,0
240,1.84282,0.76047,-0.44136,-312.6,149.52126,-54.3925,0,0,0
241,1.24058,0.08303,-0.59688,-318.56,186.24124,-177.7925,0,0,0
242,-3.78918,-1.54289,-0.45288,-230.28,247.84125,-392.75247,0,0,0
243,-9.4343,1.68559,1.30968,-154,241.96124,-394.7125,0,0,0
244,-6.71558,2.08911,1.31288,-202.56,156.52126,-325.3125,0,0,0
245,-1.8103,-3.69361,-0.36808,-270.24,-118.39875,-46.1925,0,0,0
246,-0.54566,-1.15601,0.12408,182.32,-92.11875,183.2475,0,0,0
247,0.08314,0.53839,-0.68712,302.12,-48.87875,200.5675,0,0,0
248,0.42138,0.51087,0.19224,-22.32,4.88125,115.5675,0,0,0
249,0.3433,-3.44369,-0.04104,-212.72,9.36125,-29.5125,0,0,0
250,-0.3911,-0.74033,0.68248,58.24,42.16125,-63.2725,0,0,0
251,-0.53638,0.14543,0.66744,165.44,43.64125,-66.7125,0,0,0
252,-0.40582,0.91023,0.71832,116.44,7.00125,-18.3925,0,0,0
253,-0.03014,-0.08625,0.70808,-33.4,-18.19875,30.0075,0,0,0
254,-0.08422,-0.52433,0.75512,-24.2,-9.95875,24.3275,0,0,0
255,-0.18534,-0.40081,0.76824,18.8,-7.07875,18.4075,0,0,0
256,-0.29062,0.03599,0.7532,77.88,-14.19875,23.8875,0,0,0
257,-0.2471,0.13807,0.75256,70.64,-27.51875,37.6475,0,0,0
258,-0.24646,0.10703,0.78776,56.12,-31.67875,43.0475,0,0,0
259,-0.32102,-0.10737,0.74008,41.6,-36.67875,46.2475,0,0,0
260,-0.36038,-0.24465,0.69112,65.28,-40.63875,46.6475,0,0,0
261,-0.33574,-0.15121,0.61336,108.44,-44.15875,51.4475,0,0,0
262,-0.28294,-0.05105,0.60312,126.2,-45.35875,55.6875,0,0,0
263,-0.24198,0.29359,0.59064,142.72,-44.83875,59.5675,0,0,0
264,-0.18662,0.24847,0.5484,133.32,-48.07875,55.2875,0,0,0
265,-0.16326,0.23663,0.47736,126.44,-50.03875,53.7675,0,0,0
266,-0.02822,0.23439,0.3804,120.2,-54.55875,48.6075,0,0,0
267,0.13274,0.18607,0.36376,127.76,-55.87875,40.8475,0,0,0
268,0.16442,0.24271,0.33784,135.24,-53.67875,37.8075,0,0,0
269,0.20378,0.29391,0.28088,150.56,-50.07875,28.2475,0,0,0
270,0.29754,0.33071,0.10904,160.24,-54.75875,15.7275,0,0,0
271,0.43866,0.42799,0.0812,157.6,-64.15875,4.4875,0,0,0
272,0.49306,0.41583,0.09368,153.48,-68.11875,-0.6725,0,0,0
273,0.54042,0.45807,0.0668,143.04,-74.35875,-10.4325,0,0,0
274,0.5977,0.54831,0.09752,128.08,-77.19875,-17.4325,0,0,0
275,0.60634,0.56655,0.0748,114.76,-77.71875,-18.6725,0,0,0
276,0.65114,0.52207,0.00824,78.28,-85.35875,-18.1125,0,0,0
277,0.6729,0.52015,-0.04776,51.12,-95.87875,-18.6325,0,0,0
278,0.74362,0.50639,-0.07048,47.36,-100.11875,-22.5125,0,0,0
279,0.8137,0.35055,-0.0676,64.16,-103.43875,-34.8725,0,0,0
280,0.79738,0.37231,-0.05384,95,-101.83875,-40.3125,0,0,0
281,0.80314,0.68047,-0.05352,46.56,-95.47875,-19.6325,0,0,0
282,0.82586,0.56207,-0.0164,3.32,-87.43875,-7.4725,0,0,0
283,0.81658,0.52943,-0.00744,-7.08,-81.87875,-4.3525,0,0,0
284,0.75802,0.44047,-0.0868,-10.52,-71.19875,-2.8325,0,0,0
285,0.71546,0.41263,-0.0868,-4.52,-62.23875,-0.2325,0,0,0
286,0.69242,0.48047,-0.00968,2.56,-51.75875,0.8075,0,0,0
287,0.66106,0.52655,-0.01832,2.04,-45.51875,0.0475,0,0,0
