motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
254,0.03125,-0.953125,0.015625,5.859375,1.953125,1.953125,0,0,0
255,0.046875,-0.96875,0,-1.953125,0,0,0,0,0
256,0.03125,-0.96875,0,-1.953125,0,0,0,0,0
257,0.03125,-0.96875,0,0,0,0,0,0,0
258,0.03125,-0.9375,0,0,0,0,0,0,0
259,0.03125,-0.953125,0,-1.953125,0,0,0,0,0
260,0.03125,-0.96875,0,1.953125,0,0,0,0,0
261,0.015625,-0.953125,0,0,0,0,0,0,0
262,0.03125,-0.953125,0,0,0,0,0,0,0
263,0.03125,-0.96875,0,0,0,0,0,0,0
264,0.015625,-0.9375,0.015625,-3.90625,0,0,0,0,0
265,0.03125,-0.953125,-0.015625,1.953125,0,0,0,0,0
266,0.03125,-0.96875,0.015625,0,0,0,0,0,0
267,0.015625,-0.953125,0.03125,0,0,0,0,0,0
268,0.015625,-0.953125,0.03125,-5.859375,0,-1.953125,0,0,0
269,0.03125,-0.96875,0,0,0,0,0,0,0
270,0.03125,-0.953125,0.015625,0,0,0,0,0,0
271,0.03125,-0.96875,0,0,0,0,0,0,0
272,0.015625,-0.9375,0.03125,5.859375,0,1.953125,0,0,0
273,0.015625,-0.96875,0.046875,0,0,1.953125,0,0,0
274,0.03125,-0.984375,0,0,0,-1.953125,0,0,0
275,0.015625,-0.953125,0.03125,-1.953125,0,0,0,0,0
276,0.015625,-0.953125,0.03125,-1.953125,0,0,0,0,0
277,0.015625,-0.953125,0.015625,0,0,1.953125,0,0,0
278,0.03125,-0.96875,0.015625,0,0,0,0,0,0
279,0.015625,-0.9375,0.015625,0,0,0,0,0,0
280,0.03125,-0.9375,0.015625,1.953125,0,0,0,0,0
281,0.015625,-0.96875,0.015625,1.953125,0,0,0,0,0
282,0.015625,-0.96875,0.03125,-3.90625,0,-1.953125,0,0,0
283,0.03125,-0.953125,0,0,0,0,0,0,0
284,0.015625,-0.953125,0.03125,3.90625,0,1.953125,0,0,0
285,0.015625,-0.96875,0.03125,-3.90625,0,-3.90625,0,0,0
286,0.03125,-0.953125,0.046875,-5.859375,0,-1.953125,0,0,0
287,0.03125,-0.953125,0,0,0,0,0,0,0
288,0.015625,-0.953125,0.015625,5.859375,0,1.953125,0,0,0
289,0.015625,-0.96875,0.03125,-1.953125,0,0,0,0,0
290,0.03125,-0.9375,0.03125,-3.90625,0,0,0,0,0
291,0.046875,-0.96875,0,5.859375,0,3.90625,0,0,0
292,0.03125,-0.96875,0.015625,-5.859375,0,-1.953125,0,0,0
293,0.03125,-0.953125,-0.015625,1.953125,0,0,0,0,0
294,0.015625,-0.953125,0.03125,3.90625,1.953125,1.953125,0,0,0
295,0.03125,-0.984375,0.015625,-1.953125,0,0,0,0,0
296,0.03125,-0.984375,0.015625,-1.953125,0,0,0,0,0
297,0.015625,-0.984375,0,0,0,0,0,0,0
298,0.015625,-0.9375,0.015625,1.953125,0,0,0,0,0
299,0.015625,-0.96875,0.046875,0,0,0,0,0,0
300,0.015625,-0.9375,0,0,0,0,0,0,0
301,0.015625,-0.96875,0.03125,5.859375,0,1.953125,0,0,0
302,0.046875,-0.96875,0,0,0,0,0,0,0
303,0.03125,-0.9375,0.03125,0,0,0,0,0,0
304,0.015625,-0.984375,0.015625,0,0,-1.953125,0,0,0
305,0,-0.953125,0.046875,-3.90625,0,-1.953125,0,0,0
306,0.03125,-0.953125,0.015625,0,0,0,0,0,0
307,0.046875,-0.953125,0,5.859375,0,1.953125,0,0,0
308,0.03125,-0.953125,0.03125,-1.953125,0,0,0,0,0
309,0.015625,-0.96875,0.015625,0,0,0,0,0,0
310,0.015625,-0.96875,0.015625,5.859375,1.953125,0,0,0,0
311,0.015625,-0.953125,0.046875,-3.90625,0,-1.953125,0,0,0
312,0.03125,-0.9375,0.015625,0,0,0,0,0,0
313,0.03125,-0.953125,0,3.90625,0,1.953125,0,0,0
314,0.03125,-0.9375,0.015625,0,0,0,0,0,0
315,0.03125,-0.9375,0.015625,0,0,0,0,0,0
316,0.015625,-0.96875,0,0,0,0,0,0,0
317,0.015625,-0.953125,0.03125,0,0,0,0,0,0
318,0.015625,-0.953125,0.046875,-1.953125,0,0,0,0,0
319,0.03125,-0.953125,0,0,0,0,0,0,0
320,0.03125,-0.96875,0,3.90625,0,1.953125,0,0,0
321,0.03125,-0.9375,0.015625,-1.953125,0,0,0,0,0
322,0.03125,-0.953125,0.015625,0,0,0,0,0,0
