motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
"Free hand - 10 steps - low,normal,quiet,high",1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
209,1.0715181,-0.2602413,-0.17384502,42.877808,44.335514,91.69842,0,0,0
210,1.0595592,-0.23656775,-0.1899528,34.781796,46.222553,92.06365,0,0,0
211,1.0532137,-0.22900195,-0.19532207,28.755444,46.70953,92.6115,0,0,0
212,1.0305165,-0.2202159,-0.20386407,21.024668,46.770405,93.52458,0,0,0
213,1.0168493,-0.21533477,-0.2087452,12.502552,46.344296,94.86378,0,0,0
214,0.9455846,-0.21069768,-0.21045363,-8.498375,41.109287,99.12483,0,0,0
215,0.8840821,-0.216311,-0.1928815,-17.02049,25.465115,99.73356,0,0,0
216,0.86895055,-0.21167392,-0.1945899,-15.803046,22.725864,97.968254,0,0,0
217,0.82477623,-0.21045363,-0.17067228,-11.298499,17.003872,92.67238,0,0,0
218,0.8013467,-0.21216203,-0.14748685,-8.680991,13.96026,89.08091,0,0,0
219,0.7859711,-0.21020956,-0.13626021,-5.9417405,10.612286,85.18508,0,0,0
220,0.77596474,-0.20996551,-0.12649792,-2.5937667,7.020823,80.86315,0,0,0
221,0.78206617,-0.20435217,-0.120396495,1.5455465,3.3684878,75.9325,0,0,0
222,0.8030551,-0.20581652,-0.086716585,13.050402,-1.3186756,64.671135,0,0,0
223,0.85821205,-0.1882444,-0.059626237,24.981363,-3.2665877,47.44429,0,0,0
224,0.8687066,-0.17213662,-0.044738743,25.833576,-2.7187376,41.722298,0,0,0
225,0.91190463,-0.13650426,-0.04693526,21.937752,-2.110015,28.939125,0,0,0
226,1.2911696,-0.11453911,-0.035952684,-40.51817,-1.1357849,-83.49132,0,0,0
227,1.2538288,-0.14870714,-0.010814787,-56.527573,2.7600393,-98.58764,0,0,0
228,1.1542535,-0.17238069,0.03384769,-75.09361,9.090754,-112.10127,0,0,0
229,1.0205101,-0.1945899,0.069235995,-91.71173,15.299724,-122.266945,0,0,0
230,0.8179426,-0.30124292,0.1988304,-112.225685,8.969008,-129.75423,0,0,0
231,0.7176351,-0.41106865,0.3318416,-91.83347,-12.518896,-120.74514,0,0,0
232,0.7483863,-0.4061875,0.3467291,-74.42401,-20.249672,-114.11006,0,0,0
233,0.7932929,-0.3927644,0.3318416,-54.397045,-25.241198,-106.5619,0,0,0
234,0.8523547,-0.38129368,0.28132173,-34.796177,-26.519514,-99.074615,0,0,0
235,0.9202026,-0.36420968,0.19834228,-16.77799,-24.81509,-91.89169,0,0,0
236,1.0065988,-0.3505425,0.11048167,-1.5599275,-21.101883,-86.10882,0,0,0
237,1.0866497,-0.31686258,0.037264492,5.866487,-13.249363,-81.96951,0,0,0
